flight_number,origin,destination,frequency,days,departure_time,arrival_time,effective_date,discontinued_date,suspension_start,suspension_end,notes
229,JFK,ANU,1567,X---XXX,09:30,13:20,,,,,
973,JFK,ATL,,-------,08:15,10:25,,,,,
975,JFK,ATL,x67,XXXXX--,12:00,14:10,,,,,
979,JFK,ATL,,-------,16:00,18:20,,,,,
977,JFK,ATL,x67,XXXXX--,19:20,21:40,,,,,
219,JFK,BGI,,-------,10:30,14:55,,,,,
130,JFK,TXL,,-------,10:00,12:55,,,,,
202,JFK,BOS,,-------,08:15,09:10,,,,,
530,JFK,BOS,,-------,13:50,14:45,,,,,
220,JFK,BOS,,-------,16:10,17:10,,,,,
208,JFK,BOS,,-------,20:45,22:00,,,,,
72,JFK,FRA,DLY,XXXXXXX,18:30,07:40,,,,,
66,JFK,FRA,DLY,XXXXXXX,21:45,11:10,,,,,
941,JFK,BDL,DLY,XXXXXXX,11:30,12:15,,,,,
915,JFK,BDL,DLY,XXXXXXX,14:25,15:10,,,,,
917,JFK,BDL,DLY,XXXXXXX,17:55,18:40,,,,,
919,JFK,BDL,DLY,XXXXXXX,22:10,22:55,,,,,
25,JFK,IAH,DLY,XXXXXXX,09:00,11:25,,,,,
51,JFK,IAH,DLY,XXXXXXX,18:30,21:10,,,,,
956,JFK,ITH,DLY,XXXXXXX,15:10,16:00,,,,,
928,JFK,ITH,7,------X,22:20,23:10,,,,,
403,JFK,MIA,DLY,XXXXXXX,09:30,12:15,,,,,
241,LGA,MIA,DLY,XXXXXXX,10:00,12:48,,,,,
405,JFK,MIA,DLY,XXXXXXX,12:30,15:15,,,,,
277,EWR,MIA,DLY,XXXXXXX,17:00,19:45,,1984-05-31 00:00:00,,,
115,JFK,MIA,DLY,XXXXXXX,17:10,19:55,,,,,
249,LGA,MIA,DLY,XXXXXXX,18:00,20:54,,,,,
277,EWR,MIA,DLY,XXXXXXX,18:30,21:15,1984-06-01 00:00:00,,,,
180,JFK,ROB,347,--XX--X,19:45,08:35,1984-06-03 00:00:00,,,,
180,JFK,ROB,37,--X---X,19:45,08:35,,1984-05-30 00:00:00,,,
78,JFK,MUN,DLY,XXXXXXX,20:15,10:05,,,,,
205,JFK,NAS,DLY,XXXXXXX,09:50,12:35,,1984-05-31 00:00:00,,,
205,JFK,NAS,DLY,XXXXXXX,09:50,12:40,1984-06-01 00:00:00,,,,
207,JFK,NAS,DLY,XXXXXXX,12:00,14:50,1984-06-01 00:00:00,,,,
589,JFK,NEW,DLY,XXXXXXX,18:25,20:30,,,,,
501,JFK,MCO,DLY,XXXXXXX,09:45,12:18,,,,,
267,EWR,MCO,DLY,XXXXXXX,12:05,14:25,1984-06-01 00:00:00,1984-06-01 00:00:00,,,
267,JFK,MCO,DLY,XXXXXXX,13:00,15:20,1984-06-01 00:00:00,1984-06-01 00:00:00,,,
507,JFK,MCO,DLY,XXXXXXX,16:40,19:13,,,,,
110,JFK,ORY,DLY,XXXXXXX,18:45,08:00,,,,,
101,JFK,PHL,DLY,XXXXXXX,17:05,18:02,,,,,
206,JFK,PHL,DLY,XXXXXXX,20:35,21:34,,,,,
537,JFK,PIT,DLY,XXXXXXX,18:20,19:59,,,,,
233,JFK,PTP,67,-----XX,11:30,15:25,,,,,
931,JFK,PVD,DLY,XXXXXXX,09:00,09:45,,,,,
921,JFK,PVD,DLY,XXXXXXX,22:15,23:05,,,,,
201,JFK,GIG,DLY,XXXXXXX,21:00,07:20,1984-06-01 00:00:00,,,,
938,JFK,ROC,67,-----XX,08:40,09:40,,,,,
940,JFK,ROC,DLY,XXXXXXX,11:40,12:40,,,,,
952,JFK,ROC,DLY,XXXXXXX,15:30,16:30,,,,,
946,JFK,ROC,DLY,XXXXXXX,18:00,19:05,,,,,
950,JFK,ROC,56,----XX-,22:15,23:10,,,,,
110,JFK,FCO,DLY,XXXXXXX,18:45,08:45,,,,,
539,JFK,STL,DLY,XXXXXXX,16:15,17:45,,,,,
225,JFK,SXM,DLY,XXXXXXX,09:50,13:35,,,,,
5,JFK,SFO,DLY,XXXXXXX,10:00,12:50,,,,,
11,JFK,SFO,DLY,XXXXXXX,16:00,18:50,,,,,
930,JFK,SYR,DLY,XXXXXXX,08:55,10:05,,,,,
934,JFK,SYR,DLY,XXXXXXX,18:40,19:40,,,,,
936,JFK,SYR,DLY,XXXXXXX,22:05,23:00,,,,,
511,JFK,TPA,DLY,XXXXXXX,18:45,21:35,,,,,
932,JFK,RME,DLY,XXXXXXX,15:15,16:05,,,,,
597,JFK,DCA,DLY,XXXXXXX,08:15,09:20,,,,,
218,JFK,DCA,DLY,XXXXXXX,15:30,16:40,,,,,
111,JFK,DCA,DLY,XXXXXXX,16:50,18:02,,,,,
73,JFK,DCA,DLY,XXXXXXX,17:25,19:00,,,,,
551,JFK,IAD,DLY,XXXXXXX,17:50,19:19,,,,,
800,JFK,DCA,DLY,XXXXXXX,19:20,20:39,,,,,
595,JFK,DCA,DLY,XXXXXXX,20:30,21:49,,,,,
271,EWR,PBI,DLY,XXXXXXX,08:30,11:02,,,,,
237,JFK,PBI,DLY,XXXXXXX,12:00,14:33,,,,,
275,LGA,PBI,DLY,XXXXXXX,13:30,16:04,,,,,
670,NUE,TXL,x7,XXXXXX-,10:30,11:30,,,,,
672,NUE,TXL,7,------X,13:35,14:35,,,,,
674,NUE,TXL,6,-----X-,16:05,17:05,,,,,
676,NUE,TXL,x6,XXXXX-X,20:40,21:40,,,,,
541,MCO,RSW,DLY,XXXXXXX,12:10,12:48,,,,,
371,MCO,MIA,DLY,XXXXXXX,07:30,08:15,,,,,
373,MCO,MIA,DLY,XXXXXXX,08:30,09:15,,,,,
375,MCO,MIA,DLY,XXXXXXX,09:30,10:15,,,,,
377,MCO,MIA,DLY,XXXXXXX,10:30,11:15,,,,,
379,MCO,MIA,DLY,XXXXXXX,11:30,12:15,,,,,
